gene.name ,group
Mphosph9,High_binding
Ccni,High_binding
Cse1l,High_binding
Rab6b,High_binding
Mvb12b,High_binding
Mapkbp1,High_binding
Kdm2a,High_binding
Wwc1,High_binding
Ascc3,High_binding
Tbc1d16,High_binding
Fbxl3,High_binding
Dmtf1,High_binding
Cst3,High_binding
Zxdb,High_binding
Vps37a,High_binding
Shisa6,High_binding
Manea,High_binding
Hecw2,High_binding
Ubl3,High_binding
Galnt11,High_binding
Lrrc8c,High_binding
Zfp451,High_binding
Msl2,High_binding
Zfp592,High_binding
Pom121,High_binding
Cabin1,High_binding
Evi5,High_binding
Mtmr12,High_binding
Zfp758,High_binding
Clcn3,High_binding
Sipa1l2,High_binding
Zfp710,High_binding
Map4k4,High_binding
Usp22,High_binding
Mapk4,High_binding
Clic4,High_binding
Zfp654,High_binding
Smek1,High_binding
Camk2b,High_binding
Nup214,High_binding
Qrich1,High_binding
Mllt10,High_binding
Plekha5,High_binding
Fcho1,High_binding
Homer2,High_binding
Suz12,High_binding
Vcpip1,High_binding
Spns2,High_binding
Atrx,High_binding
C87436,High_binding
Fbxl5,High_binding
Uba6,High_binding
1110037F02Rik,High_binding
Pygo1,High_binding
Rpgrip1l,High_binding
Itpr2,High_binding
Dhx9,High_binding
Zc3h12b,High_binding
Smek2,High_binding
Tmf1,High_binding
Dapk1,High_binding
Adar,High_binding
Phf2,High_binding
Fat1,High_binding
Dact3,High_binding
Gtf2i,High_binding
Slf1,High_binding
Ehbp1,High_binding
D630045J12Rik,High_binding
Hnrnpul1,High_binding
Cadps2,High_binding
Cpeb2,High_binding
Wasf1,High_binding
Rptor,High_binding
Rftn2,High_binding
Ankfy1,High_binding
Plekhb1,High_binding
Srf,High_binding
Nova2,High_binding
Dzip3,High_binding
Adgrb3,High_binding
Cbfa2t3,High_binding
Kif2a,High_binding
Scaf8,High_binding
Arhgap29,High_binding
Rps2,High_binding
Per3,High_binding
Herc3,High_binding
Lats1,High_binding
Cacna1c,High_binding
Rps26,High_binding
Mbnl2,High_binding
Foxo1,High_binding
Enpp2,High_binding
Irs2,High_binding
Tenm1,High_binding
Olfm1,High_binding
Mapk9,High_binding
Atp13a3,High_binding
Luzp1,High_binding
Zfp335,High_binding
Atrnl1,High_binding
Nomo1,High_binding
Clu,High_binding
Phf3,High_binding
Itch,High_binding
C2cd5,High_binding
Arhgef2,High_binding
Med1,High_binding
Armcx1,High_binding
Pik3c2b,High_binding
Abi1,High_binding
Pias1,High_binding
Setbp1,High_binding
Rhobtb2,High_binding
Zbtb18,High_binding
Ubr1,High_binding
Cramp1l,High_binding
Stag2,High_binding
Smad2,High_binding
Hif1a,Low_binding
Ncoa3,Low_binding
Slc36a4,Low_binding
Gpam,Low_binding
Ahcyl1,Low_binding
Zfp292,Low_binding
Ptk2b,Low_binding
Atp13a2,Low_binding
2310035C23Rik,Low_binding
Phc3,Low_binding
Spata2,Low_binding
Pcdhgc3,Low_binding
Plcl1,Low_binding
Egr3,Low_binding
Mctp1,Low_binding
Daam1,Low_binding
Wdr44,Low_binding
Bicd1,Low_binding
Zfp280c,Low_binding
Phlpp2,Low_binding
Rnf123,Low_binding
Gprin1,Low_binding
Ubn2,Low_binding
Med23,Low_binding
